tau_mem,hunger_drive,brain_body_sync_ms,seed,food_eaten,final_dust,final_x,final_y
28.0,0.55,10.0,3,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.55,10.0,4,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.55,10.0,5,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.55,15.0,1,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.55,15.0,2,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.55,15.0,3,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.55,15.0,4,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.55,15.0,5,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.55,20.0,1,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.55,20.0,2,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.55,20.0,3,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.55,20.0,4,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.55,20.0,5,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.7,10.0,1,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.7,10.0,2,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.7,10.0,3,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.7,10.0,4,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.7,10.0,5,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.7,15.0,1,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.7,15.0,2,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.7,15.0,3,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.7,15.0,4,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.7,15.0,5,0.32,0.08400000000000003,1.6984296701529211,0.40248502950152587
28.0,0.7,20.0,1,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.7,20.0,2,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.7,20.0,3,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.7,20.0,4,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.7,20.0,5,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
